CPU 1 is empty
cpus=2
           <...>-33790 [000] 20143.614195: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [000] 20143.615074: funcgraph_entry:                   |                __update_load_avg_se.isra.38() {
            bash-16796 [000] 20143.615074: funcgraph_entry:        0.514 us   |                  decay_load();
            bash-16796 [000] 20143.615075: funcgraph_entry:        0.500 us   |                  decay_load();
            bash-16796 [000] 20143.615076: funcgraph_entry:        0.498 us   |                  decay_load();
            bash-16796 [000] 20143.615077: funcgraph_entry:        0.498 us   |                  __accumulate_pelt_segments();
            bash-16796 [000] 20143.615078: funcgraph_exit:         4.619 us   |                }
            bash-16796 [000] 20143.615079: funcgraph_entry:        0.507 us   |                decay_load();
            bash-16796 [000] 20143.615080: funcgraph_entry:        0.493 us   |                decay_load();
            bash-16796 [000] 20143.615081: funcgraph_entry:        0.504 us   |                decay_load();
            bash-16796 [000] 20143.615082: funcgraph_entry:        0.502 us   |                __accumulate_pelt_segments();
            bash-16796 [000] 20143.615084: funcgraph_entry:        0.536 us   |                _raw_spin_unlock_irqrestore();
            bash-16796 [000] 20143.615085: funcgraph_exit:       + 62.496 us  |              }
            bash-16796 [000] 20143.615086: funcgraph_entry:        0.521 us   |              __msecs_to_jiffies();
            bash-16796 [000] 20143.615087: funcgraph_exit:       + 64.893 us  |            }
            bash-16796 [000] 20143.615087: funcgraph_exit:       + 66.128 us  |          }
            bash-16796 [000] 20143.615088: funcgraph_entry:        0.492 us   |          rcu_bh_qs();
            bash-16796 [000] 20143.615089: funcgraph_exit:       + 74.768 us  |        }
            bash-16796 [000] 20143.615090: funcgraph_entry:        0.513 us   |        idle_cpu();
            bash-16796 [000] 20143.615091: funcgraph_entry:        0.509 us   |        rcu_irq_exit();
            bash-16796 [000] 20143.615091: funcgraph_exit:       + 78.835 us  |      }
            bash-16796 [000] 20143.615092: funcgraph_exit:       ! 383.185 us |    }
            bash-16796 [000] 20143.615094: funcgraph_exit:       ! 723.049 us |  }
