CPU 0 is empty
cpus=2
            main-27967 [001] 14428.023829: funcgraph_entry:                   |                          try_to_wake_up() {
            main-27967 [001] 14428.023829: funcgraph_entry:        0.217 us   |                            _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023830: funcgraph_entry:        0.199 us   |                            _raw_spin_unlock_irqrestore();
            main-27967 [001] 14428.023830: funcgraph_exit:         0.994 us   |                          }
            main-27967 [001] 14428.023830: funcgraph_exit:         1.394 us   |                        }
            main-27967 [001] 14428.023830: funcgraph_exit:         2.297 us   |                      }
            main-27967 [001] 14428.023831: funcgraph_exit:         3.929 us   |                    }
            main-27967 [001] 14428.023831: funcgraph_exit:         4.380 us   |                  }
            main-27967 [001] 14428.023831: funcgraph_exit:         4.775 us   |                }
            main-27967 [001] 14428.023831: funcgraph_exit:         6.948 us   |              }
            main-27967 [001] 14428.023831: funcgraph_entry:        0.195 us   |              mutex_unlock();
            main-27967 [001] 14428.023832: funcgraph_entry:                   |              mutex_lock() {
            main-27967 [001] 14428.023832: funcgraph_entry:                   |                _cond_resched() {
            main-27967 [001] 14428.023832: funcgraph_entry:        0.182 us   |                  rcu_all_qs();
            main-27967 [001] 14428.023833: funcgraph_exit:         0.540 us   |                }
            main-27967 [001] 14428.023833: funcgraph_exit:         0.912 us   |              }
            main-27967 [001] 14428.023833: funcgraph_entry:                   |              tty_write_room() {
            main-27967 [001] 14428.023833: funcgraph_entry:                   |                pty_write_room() {
            main-27967 [001] 14428.023833: funcgraph_entry:        0.181 us   |                  tty_buffer_space_avail();
            main-27967 [001] 14428.023834: funcgraph_exit:         0.548 us   |                }
            main-27967 [001] 14428.023834: funcgraph_exit:         0.942 us   |              }
            main-27967 [001] 14428.023834: funcgraph_entry:                   |              do_output_char() {
            main-27967 [001] 14428.023834: funcgraph_entry:                   |                pty_write() {
            main-27967 [001] 14428.023834: funcgraph_entry:        0.186 us   |                  _raw_spin_lock_irqsave();
            main-27967 [001] 14428.023835: funcgraph_entry:                   |                  tty_insert_flip_string_fixed_flag() {
            main-27967 [001] 14428.023835: funcgraph_entry:        0.185 us   |                    __tty_buffer_request_room();
            main-27967 [001] 14428.023835: funcgraph_exit:         0.611 us   |                  }
