CPU 0 is empty
cpus=2
  kworker/u256:0-26003 [001] 15406.201814: funcgraph_entry:                   |  switch_mm_irqs_off() {
            bash-16796 [001] 15406.201972: funcgraph_exit:       + 14.865 us  |          }
            bash-16796 [001] 15406.201972: funcgraph_exit:       + 15.245 us  |        }
            bash-16796 [001] 15406.201972: funcgraph_entry:        0.153 us   |        __fsnotify_parent();
            bash-16796 [001] 15406.201972: funcgraph_entry:        0.165 us   |        fsnotify();
            bash-16796 [001] 15406.201973: funcgraph_exit:       + 19.750 us  |      }
            bash-16796 [001] 15406.201973: funcgraph_exit:       + 20.668 us  |    }
            bash-16796 [001] 15406.201973: funcgraph_exit:       + 21.241 us  |  }
            bash-16796 [001] 15406.201977: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [001] 15406.201977: funcgraph_entry:                   |    SyS_pselect6() {
            bash-16796 [001] 15406.201978: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [001] 15406.201978: funcgraph_entry:        0.147 us   |        __set_current_blocked();
            bash-16796 [001] 15406.201978: funcgraph_exit:         0.450 us   |      }
            bash-16796 [001] 15406.201978: funcgraph_entry:                   |      core_sys_select() {
            bash-16796 [001] 15406.201978: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [001] 15406.201978: funcgraph_entry:        0.169 us   |          check_stack_object();
            bash-16796 [001] 15406.201979: funcgraph_exit:         0.458 us   |        }
            bash-16796 [001] 15406.201979: funcgraph_entry:                   |        do_select() {
            bash-16796 [001] 15406.201979: funcgraph_entry:                   |          __fdget() {
            bash-16796 [001] 15406.201980: funcgraph_entry:        0.148 us   |            __fget_light();
            bash-16796 [001] 15406.201980: funcgraph_exit:         0.416 us   |          }
            bash-16796 [001] 15406.201980: funcgraph_entry:                   |          tty_poll() {
            bash-16796 [001] 15406.201980: funcgraph_entry:        0.138 us   |            tty_paranoia_check();
            bash-16796 [001] 15406.201980: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [001] 15406.201981: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [001] 15406.201981: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201981: funcgraph_entry:        0.138 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201981: funcgraph_exit:         0.410 us   |                }
            bash-16796 [001] 15406.201981: funcgraph_exit:         0.687 us   |              }
            bash-16796 [001] 15406.201981: funcgraph_exit:         0.959 us   |            }
            bash-16796 [001] 15406.201982: funcgraph_entry:                   |            n_tty_poll() {
            bash-16796 [001] 15406.201982: funcgraph_entry:                   |              __pollwait() {
            bash-16796 [001] 15406.201982: funcgraph_entry:                   |                add_wait_queue() {
            bash-16796 [001] 15406.201982: funcgraph_entry:        0.137 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201982: funcgraph_entry:        0.145 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201983: funcgraph_exit:         0.693 us   |                }
            bash-16796 [001] 15406.201983: funcgraph_exit:         0.991 us   |              }
            bash-16796 [001] 15406.201983: funcgraph_entry:                   |              __pollwait() {
            bash-16796 [001] 15406.201983: funcgraph_entry:                   |                add_wait_queue() {
            bash-16796 [001] 15406.201983: funcgraph_entry:        0.129 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201983: funcgraph_entry:        0.143 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201984: funcgraph_exit:         0.664 us   |                }
            bash-16796 [001] 15406.201984: funcgraph_exit:         0.984 us   |              }
            bash-16796 [001] 15406.201984: funcgraph_entry:        0.134 us   |              tty_hung_up_p();
            bash-16796 [001] 15406.201984: funcgraph_entry:                   |              tty_chars_in_buffer() {
            bash-16796 [001] 15406.201984: funcgraph_entry:        0.135 us   |                pty_chars_in_buffer();
            bash-16796 [001] 15406.201985: funcgraph_exit:         0.417 us   |              }
            bash-16796 [001] 15406.201985: funcgraph_entry:                   |              tty_write_room() {
            bash-16796 [001] 15406.201985: funcgraph_entry:                   |                pty_write_room() {
            bash-16796 [001] 15406.201985: funcgraph_entry:        0.134 us   |                  tty_buffer_space_avail();
            bash-16796 [001] 15406.201985: funcgraph_exit:         0.415 us   |                }
            bash-16796 [001] 15406.201986: funcgraph_exit:         0.706 us   |              }
            bash-16796 [001] 15406.201986: funcgraph_exit:         4.118 us   |            }
            bash-16796 [001] 15406.201986: funcgraph_entry:                   |            tty_ldisc_deref() {
            bash-16796 [001] 15406.201986: funcgraph_entry:        0.132 us   |              ldsem_up_read();
            bash-16796 [001] 15406.201986: funcgraph_exit:         0.407 us   |            }
            bash-16796 [001] 15406.201986: funcgraph_exit:         6.320 us   |          }
            bash-16796 [001] 15406.201986: funcgraph_entry:                   |          _cond_resched() {
            bash-16796 [001] 15406.201987: funcgraph_entry:        0.132 us   |            rcu_all_qs();
            bash-16796 [001] 15406.201987: funcgraph_exit:         0.395 us   |          }
            bash-16796 [001] 15406.201987: funcgraph_entry:                   |          poll_freewait() {
            bash-16796 [001] 15406.201987: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [001] 15406.201987: funcgraph_entry:        0.161 us   |              _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201988: funcgraph_entry:        0.143 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201988: funcgraph_exit:         0.701 us   |            }
            bash-16796 [001] 15406.201988: funcgraph_entry:        0.138 us   |            fput();
            bash-16796 [001] 15406.201988: funcgraph_entry:                   |            remove_wait_queue() {
            bash-16796 [001] 15406.201988: funcgraph_entry:        0.135 us   |              _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201989: funcgraph_entry:        0.146 us   |              _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201989: funcgraph_exit:         0.684 us   |            }
            bash-16796 [001] 15406.201989: funcgraph_entry:        0.138 us   |            fput();
            bash-16796 [001] 15406.201989: funcgraph_exit:         2.341 us   |          }
            bash-16796 [001] 15406.201990: funcgraph_exit:       + 10.396 us  |        }
            bash-16796 [001] 15406.201990: funcgraph_entry:                   |        __check_object_size() {
            bash-16796 [001] 15406.201990: funcgraph_entry:        0.148 us   |          check_stack_object();
            bash-16796 [001] 15406.201990: funcgraph_exit:         0.837 us   |        }
            bash-16796 [001] 15406.201991: funcgraph_exit:       + 12.458 us  |      }
            bash-16796 [001] 15406.201991: funcgraph_entry:        0.135 us   |      poll_select_copy_remaining();
            bash-16796 [001] 15406.201991: funcgraph_entry:                   |      sigprocmask() {
            bash-16796 [001] 15406.201991: funcgraph_entry:        0.138 us   |        __set_current_blocked();
            bash-16796 [001] 15406.201991: funcgraph_exit:         0.406 us   |      }
            bash-16796 [001] 15406.201992: funcgraph_exit:       + 14.304 us  |    }
            bash-16796 [001] 15406.201992: funcgraph_exit:       + 15.030 us  |  }
            bash-16796 [001] 15406.201992: funcgraph_entry:                   |  do_syscall_64() {
            bash-16796 [001] 15406.201993: funcgraph_entry:                   |    sys_read() {
            bash-16796 [001] 15406.201993: funcgraph_entry:                   |      __fdget_pos() {
            bash-16796 [001] 15406.201993: funcgraph_entry:        0.150 us   |        __fget_light();
            bash-16796 [001] 15406.201993: funcgraph_exit:         0.414 us   |      }
            bash-16796 [001] 15406.201993: funcgraph_entry:                   |      vfs_read() {
            bash-16796 [001] 15406.201993: funcgraph_entry:                   |        rw_verify_area() {
            bash-16796 [001] 15406.201994: funcgraph_entry:                   |          security_file_permission() {
            bash-16796 [001] 15406.201994: funcgraph_entry:                   |            apparmor_file_permission() {
            bash-16796 [001] 15406.201994: funcgraph_entry:                   |              common_file_perm() {
            bash-16796 [001] 15406.201994: funcgraph_entry:        0.158 us   |                aa_file_perm();
            bash-16796 [001] 15406.201994: funcgraph_exit:         0.456 us   |              }
            bash-16796 [001] 15406.201994: funcgraph_exit:         0.743 us   |            }
            bash-16796 [001] 15406.201995: funcgraph_entry:        0.147 us   |            __fsnotify_parent();
            bash-16796 [001] 15406.201995: funcgraph_entry:        0.150 us   |            fsnotify();
            bash-16796 [001] 15406.201995: funcgraph_exit:         1.622 us   |          }
            bash-16796 [001] 15406.201995: funcgraph_exit:         1.908 us   |        }
            bash-16796 [001] 15406.201995: funcgraph_entry:                   |        __vfs_read() {
            bash-16796 [001] 15406.201996: funcgraph_entry:                   |          tty_read() {
            bash-16796 [001] 15406.201996: funcgraph_entry:        0.141 us   |            tty_paranoia_check();
            bash-16796 [001] 15406.201996: funcgraph_entry:                   |            tty_ldisc_ref_wait() {
            bash-16796 [001] 15406.201996: funcgraph_entry:                   |              ldsem_down_read() {
            bash-16796 [001] 15406.201996: funcgraph_entry:                   |                _cond_resched() {
            bash-16796 [001] 15406.201996: funcgraph_entry:        0.139 us   |                  rcu_all_qs();
            bash-16796 [001] 15406.201997: funcgraph_exit:         0.413 us   |                }
            bash-16796 [001] 15406.201997: funcgraph_exit:         0.699 us   |              }
            bash-16796 [001] 15406.201997: funcgraph_exit:         0.979 us   |            }
            bash-16796 [001] 15406.201997: funcgraph_entry:                   |            n_tty_read() {
            bash-16796 [001] 15406.201997: funcgraph_entry:                   |              __tty_check_change() {
            bash-16796 [001] 15406.201997: funcgraph_entry:                   |                __tty_check_change.part.0() {
            bash-16796 [001] 15406.201998: funcgraph_entry:        0.144 us   |                  _raw_spin_lock_irqsave();
            bash-16796 [001] 15406.201998: funcgraph_entry:        0.148 us   |                  _raw_spin_unlock_irqrestore();
            bash-16796 [001] 15406.201998: funcgraph_exit:         0.756 us   |                }
            bash-16796 [001] 15406.201998: funcgraph_exit:         1.060 us   |              }
